steps,time,reward,delta,converged
1,0.007632999999998447,0.6666666666666666,0.3333333333333333,False
2,0.00695899999999483,1.2866666666666666,0.19999999999999998,False
3,0.00801900000001865,1.8644666666666665,0.12299999999999997,False
4,0.011021999999996979,2.3568566666666664,0.08072999999999997,False
5,0.00778199999999174,2.781427886666666,0.059588999999999975,False
6,0.008341000000001486,3.149568172466666,0.04469822999999998,False
7,0.0070969999999874744,3.4690578676106654,0.03489970859999997,False
8,0.008499999999997954,3.746850334468946,0.026345637179999992,False
9,0.006881999999990285,3.9889305971124474,0.021548948181299987,False
10,0.00651200000001495,4.200402613109285,0.017173783938411014,False
11,0.010192000000017742,4.385461107871551,0.013422591289242905,False
12,0.006731000000002041,4.547434120211877,0.011165773086565814,False
13,0.006184999999987895,4.689065206822849,0.00904400079726285,False
14,0.007981000000000904,4.812706514412149,0.007239984395702552,False
15,0.0070699999999987995,4.920424554976443,0.006050805626070299,False
16,0.006340999999991936,5.014060406387363,0.0049598687322428,False
17,0.00623200000001134,5.095268347389079,0.004020882776720552,False
18,0.006709000000000742,5.165541209527618,0.0033764631365434256,False
19,0.00623200000001134,5.226226429634406,0.0027925028856481127,False
20,0.006427999999999656,5.278536396233132,0.002282358603266116,False
21,0.006186999999982845,5.323556166955281,0.0019226285178224264,False
22,0.006155000000006794,5.362250806236894,0.0016010293432501058,False
23,0.006933000000003631,5.395473414204883,0.0013197679707435683,False
24,0.006192999999996118,5.423973363031319,0.0011109264698816908,False
25,0.0069780000000037035,5.448405560244716,0.0009300981759045868,False
26,0.00668099999998617,5.469339735198594,0.0007718082865384203,False
27,0.00703300000000695,5.487269634196546,0.0006490160803409376,False
28,0.00805800000000545,5.502621803962515,0.0005457361285961526,False
29,0.006365000000016607,5.515763790651332,0.0004552666620798486,False
30,0.006851999999980762,5.527011657042939,0.0003824149365091855,False
31,0.007085999999986825,5.536636773753732,0.0003227072859113729,False
32,0.007534999999990077,5.54487187918886,0.00027037874330787526,False
33,0.006445000000013579,5.551916436550123,0.00022686587992725663,False
34,0.007231000000018639,5.557941324300928,0.00019201508642199133,False
35,0.006414000000006581,5.563092913296323,0.0001614599995635839,False
36,0.005924999999990632,5.567496588841998,0.0001353391543568276,False
37,0.007164000000017268,5.571259778225684,0.00011483930585647235,False
38,0.006169999999997344,5.5744749756538345,9.686144524213847e-05,False
39,0.006577999999990425,5.577221232241661,8.12619801951707e-05,False
40,0.006937999999991007,5.579566215753623,6.899453022631875e-05,False
41,0.006298999999984289,5.581567941223791,5.8350746944608144e-05,False
42,0.007807000000013886,5.5832760804234915,4.910359032534546e-05,False
43,0.007097000000015896,5.58473323211337,4.165559780410898e-05,False
44,0.00694400000000428,5.585975875733894,3.531940178806356e-05,False
45,0.007129000000020369,5.587035330774618,2.9808024408235073e-05,False
46,0.007581999999985101,5.5879383149194215,2.5343308380512252e-05,False
47,0.006186999999982845,5.588707705766459,2.1545822558869093e-05,False
48,0.005988000000002103,5.589363071589436,1.838270520489074e-05,False
49,0.006841000000008535,5.58992113403043,1.6375967264257085e-05,False
50,0.006485999999995329,5.590396225817786,1.4527099503003783e-05,False
51,0.006597999999996773,5.590800570739472,1.282138784634867e-05,False
52,0.00675499999999829,5.591144598713154,1.124630113774833e-05,False
53,0.007279000000011138,5.591437220491977,9.808560595300688e-06,True
